question,condition,variable,value,month,Mittelwert von value,Rating_in_relation_to_mean
Ich habe der Prinzessin sich selbst auf den Gemälden präsentiert.,F,participant_1,3.0,September,2.866666667,0.13333333299999994
"Sie schreibt gerne Briefe, obwohl sie hat jetzt einen Computer.",F,participant_1,2.0,September,2.866666667,-0.8666666670000001
Da entschieden gegen hat der Politiker sicherlich nicht.,F,participant_1,1.0,September,2.866666667,-1.866666667
Das Dach wurde für gereinigt.,F,participant_1,1.0,September,2.866666667,-1.866666667
Die Autorin hat dem frechen und nervigen Journalisten kurzfristig abgesagt.,F,participant_1,7.0,September,2.866666667,4.1333333329999995
"Sie denkt, der Koch hat die Suppe versalzen.",F,participant_1,7.0,September,2.866666667,4.1333333329999995
Das ist die Verrückt- und Besonderheit ihrer Herangehensweise.,H 1.5,participant_1,3.0,September,2.866666667,0.13333333299999994
Die Nett- und Echtheit seiner Reaktion hat allen gefallen.,H 1'.6,participant_1,5.0,September,2.866666667,2.133333333
Die Tat wurde mit Trunken- und Verlogenheit begangen.,H 4.3,participant_1,5.0,September,2.866666667,2.133333333
Die Allgemein- und Gesamtheit der Regeln spricht dafür.,H 4'.4,participant_1,3.0,September,2.866666667,0.13333333299999994
Die Zeit danach war von Einsam- und Traurigkeit geprägt.,K 2.7,participant_1,3.0,September,2.866666667,0.13333333299999994
Die Freundlich- und Ehrlichkeit ihrer Worte war rührend.,K 2'.8,participant_1,4.0,September,2.866666667,1.133333333
Der Autounfall ist auf Fahrlässig- und Unzurechnungsfähigkeit zurückzuführen.,K 5.1,participant_1,5.0,September,2.866666667,2.133333333
Jede Zeit kommt mit einer eigenen Idee von Weiblich- und Männlichkeit.,K 5'.2,participant_1,5.0,September,2.866666667,2.133333333
Der Chef war beruf- und dienstlich in Singapur.,L 2.7,participant_1,3.0,September,2.866666667,0.13333333299999994
Das war sicher- und absichtlich der Nachbar.,L 2'.8,participant_1,2.0,September,2.866666667,-0.8666666670000001
Die Neuigkeiten sind für sie gleichzeitig erfreu- und bedrohlich.,L 5.1,participant_1,1.0,September,2.866666667,-1.866666667
Seine Antwort war erstaun- und ehrlich.,L 5'.2,participant_1,1.0,September,2.866666667,-1.866666667
Die Geisterbahn ist voller Dunkel- und Grausamkeit.,Mis 3.1,participant_1,4.0,September,2.866666667,1.133333333
Dafür sind Großzügig- und Verbundenheit entscheidend.,Mis 3'.2,participant_1,5.0,September,2.866666667,2.133333333
Die Autorin wirkte sehr sympathisch durch ihre Bescheiden- und Liebenswürdigkeit.,Mis 6.3,participant_1,2.0,September,2.866666667,-0.8666666670000001
Vor lauter Bitter- und Beschränktheit hat der Nachbar keinen Kontakt zu den anderen.,Mis 6'.4,participant_1,2.0,September,2.866666667,-0.8666666670000001
Er hat höf- und freundlich abgesagt.,Mix 3.1,participant_1,2.0,September,2.866666667,-0.8666666670000001
Die Bezahlung vieler Berufe ist leid- und kümmerlich.,Mix 3'.2,participant_1,1.0,September,2.866666667,-1.866666667
Sie hat aber tatsäch- und wirklich mehr verlangt.,Mix 6.3,participant_1,1.0,September,2.866666667,-1.866666667
Der Auftritt war pein- und lächerlich.,Mix 6'.4,participant_1,1.0,September,2.866666667,-1.866666667
Die beiden behandeln den Welpen mütter- und väterlich.,U 1.5,participant_1,3.0,September,2.866666667,0.13333333299999994
Besonders Mikroplastik ist schäd- und künstlich.,U 1'.6,participant_1,2.0,September,2.866666667,-0.8666666670000001
Schottergärten sind gräss- und hässlich.,U 4.3,participant_1,1.0,September,2.866666667,-1.866666667
Der Tiger hat den Pfleger plötz- und vorsätzlich angegriffen.,U 4'.4,participant_1,1.0,September,2.866666667,-1.866666667
Das Haus wurde unter gestrichen.,F,participant_2,1.0,Juni,2.633333333,-1.633333333
Die Familie hat eine teure Reise voreilig gebucht.,F,participant_2,6.0,Juni,2.633333333,3.366666667
"Er glaubt, die Mannschaft hat den Schiedsrichter bestochen.",F,participant_2,7.0,Juni,2.633333333,4.3666666670000005
"Auf der Fähre glaubt er, hat der Urlauber den Kontrolleur belogen.",F,participant_2,7.0,Juni,2.633333333,4.3666666670000005
"Die Familie isst gerne griechisch und türkisch, obwohl sie lebt jetzt in Italien.",F,participant_2,3.0,Juni,2.633333333,0.36666666700000006
Da gestimmt für hat der Wähler aber nicht.,F,participant_2,2.0,Juni,2.633333333,-0.6333333329999999
Viele streben innere Gelassen- und Zufriedenheit an.,H 1.8,participant_2,4.0,Juni,2.633333333,1.366666667
Die Klar- und Einfachheit der Lösung erstaunte alle.,H 1'.1,participant_2,2.0,Juni,2.633333333,-0.6333333329999999
Das Hotel bietet Gelegen- und Abgeschiedenheit zum Entspannen.,H 4.2,participant_2,2.0,Juni,2.633333333,-0.6333333329999999
Die Tat wurde mit Verlogen- und Trunkenheit begangen.,H 4'.3,participant_2,3.0,Juni,2.633333333,0.36666666700000006
Fachleute waren sich uneinig über die Möglich- und Wahrscheinlichkeit eines Wahlsieges.,K 2.2,participant_2,2.0,Juni,2.633333333,-0.6333333329999999
Den Redakteur würde ein Mangel an Aufrichtig- und Aufmerksamkeit am meisten stören.,K 2'.3,participant_2,1.0,Juni,2.633333333,-1.633333333
Das ist seine Art von Öffentlich- und Wohltätigkeit.,K 5.4,participant_2,2.0,Juni,2.633333333,-0.6333333329999999
Das Weihnachtsfest bedeutet für viele eine Atmosphäre von Selig- und Heiligkeit.,K 5'.5,participant_2,6.0,Juni,2.633333333,3.366666667
Die Landschaft dort ist fried- und herrlich.,L 2.2,participant_2,2.0,Juni,2.633333333,-0.6333333329999999
Das Lachen ist herz- und kindlich.,L 2'.3,participant_2,2.0,Juni,2.633333333,-0.6333333329999999
Das war schließ- und augenblicklich das Ende.,L 5.4,participant_2,3.0,Juni,2.633333333,0.36666666700000006
Die Ergebnisse sind vertrau- und wissenschaftlich.,L 5'.5,participant_2,1.0,Juni,2.633333333,-1.633333333
Der Papst erfreut sich großer Berühmt- und Herrlichkeit.,Mis 3.4,participant_2,2.0,Juni,2.633333333,-0.6333333329999999
Die Geisterbahn ist voller Grausam- und Dunkelheit.,Mis 3'.1,participant_2,2.0,Juni,2.633333333,-0.6333333329999999
Die Oma hat viel Weis- und Zärtlichkeit für ihre Enkel.,Mis 6.6,participant_2,2.0,Juni,2.633333333,-0.6333333329999999
Für sie gelten Konzepte wie Jungfräulich- und Keuschheit häufiger.,Mis 6'.7,participant_2,2.0,Juni,2.633333333,-0.6333333329999999
Oft ist mit dem männ- und menschlichen Körper ein und das Selbe gemeint.,Mix 3.4,participant_2,2.0,Juni,2.633333333,-0.6333333329999999
Er hat freund- und höflich abgesagt.,Mix 3'.1,participant_2,2.0,Juni,2.633333333,-0.6333333329999999
Die Arbeitsleistung ist gewöhn- und ordentlich.,Mix 6.6,participant_2,1.0,Juni,2.633333333,-1.633333333
Das klingt als wäre er sehr empfind- und anhänglich.,Mix 6'.7,participant_2,1.0,Juni,2.633333333,-1.633333333
In diesem Zustand ist die Deutsche Bahn leider weder pünkt- noch nützlich.,U 1.8,participant_2,2.0,Juni,2.633333333,-0.6333333329999999
Die Lieder sind fröh- und tröstlich.,U 1'.1,participant_2,2.0,Juni,2.633333333,-0.6333333329999999
