condition,item,first,second
H 1.1,"Die Lehrerin hat die Aufgabe an der Tafel gelöst.
Die Einfach- und Klarheit der Lösung erstaunte alle.",Einfach,Klarheit
H 1'.1,Die Klar- und Einfachheit der Lösung erstaunte alle.,Klar,Einfachheit
K 2.1,"Die Gäste waren sehr zufrieden mit dem Urlaub.
Das Hotel erfüllte ihre Erwartungen und überzeugte vor allem durch Sauber- und Gemütlichkeit.",Sauber,Gemütlichkeit
K 2'.1,Das Hotel erfüllte ihre Erwartungen und überzeugte vor allem durch Gemütlich- und Sauberkeit.,Gemütlich,Sauberkeit
Mis 3.1,"Der Kontrolleur hat die Kinder gewarnt.
Die Geisterbahn ist voller Dunkel- und Grausamkeit.",Dunkel,Grausamkeit
Mis 3'.1,Die Geisterbahn ist voller Grausam- und Dunkelheit.,Grausam,Dunkelheit
H 4.1,"In Europa gibt es viele Schlösser und Burgen.
Sie strahlen Vergangen- und Erhabenheit aus.",Vergangen,Erhabenheit
H 4'.1,Sie strahlen Erhaben- und Vergangenheit aus.,Erhaben,Vergangenheit
K 5.1,"Die Ermittlungen zum Autounfall sind abgeschlossen.
Der Autounfall ist auf Fahrlässig- und Unzurechnungsfähigkeit zurückzuführen.",Fahrlässig,Unzurechnungsfähigkeit
K 5'.1,Der Autounfall ist auf Unzurechnungsfähig- und Fahrlässigkeit zurückzuführen.,Unzurechnungsfähig,Fahrlässigkeit
Mis 6.1,"Die Zeugin überzeugt vor Gericht.
Sie strahlt Selbstsicher- und Glaubwürdigkeit aus.",Selbstsicher,Glaubwürdigkeit
Mis 6'.1,Sie strahlt Glaubwürdig- und Selbstsicherheit aus.,Glaubwürdig,Selbstsicherheit
U 1.1,"Oft hören Menschen Musik aus ihrer Jugend.
Die Lieder sind tröst- und fröhlich.",tröst,fröhlich
U 1'.1,Die Lieder sind fröh- und tröstlich.,fröh,tröstlich
L 2.1,"Die Nachbarin hat viele Probleme bei der Unternehmensgründung.
Die Probleme sind vor allem zeit- und rechtlicher Natur.",zeit,rechtlicher
L 2'.1,Die Probleme sind vor allem recht- und zeitlicher Natur.,recht,zeitlicher
Mix 3.1,"Der Minister kommt nicht zur Buchmesse nach Leipzig.
Er hat höf- und freundlich abgesagt.",höf,freundlich
Mix 3'.1,Er hat freund- und höflich abgesagt.,freund,höflich
U 4.1,"Die Familie hat Essen bestellt.
Es schmeckt köst- und vorzüglich.",köst,vorzüglich
U 4'.1,Es schmeckt vorzüg- und köstlich.,vorzüg,köstlich
L 5.1,"Die Bewerberin ist in die nächste Runde gekommen.
Die Neuigkeiten sind für sie gleichzeitig erfreu- und bedrohlich.",erfreu,bedrohlich
L 5'.1,Die Neuigkeiten sind für sie gleichzeitig bedroh- und erfreulich.,bedroh,erfreulich
Mix 6.1,"Immer mehr Menschen achten auf ihren ökologischen Fußabdruck.
Nachhaltig zu leben ist natür- und verantwortlich.",natür,verantwortlich
Mix 6'.1,Nachhaltig zu leben ist verantwort- und natürlich.,verantwort,natürlich
H 1'.2,Ihr Auftreten strahlt Sicher- und Gewissheit aus.,Sicher,Gewissheit
K 2.2,"In Umfragen hat die Partei unterschiedlich viele Stimmen erhalten.
Fachleute waren sich uneinig über die Möglich- und Wahrscheinlichkeit eines Wahlsieges.",Möglich,Wahrscheinlichkeit
K 2'.2,Fachleute waren sich uneinig über die Wahrscheinlich- und Möglichkeit eines Wahlsieges.,Wahrscheinlich,Möglichkeit
Mis 3.2,"Die Familie hat eine enge Bindung.
Dafür sind Verbunden- und Großzügigkeit entscheidend.",Verbunden,Großzügigkeit
Mis 3'.2,Dafür sind Großzügig- und Verbundenheit entscheidend.,Großzügig,Verbundenheit
H 4.2,"Das Hotel liegt am Ende des Tals.
Das Hotel bietet Gelegen- und Abgeschiedenheit zum Entspannen.",Gelegen,Abgeschiedenheit
H 4'.2,Das Hotel bietet Abgeschieden- und Gelegenheit zum Entspannen.,Abgeschieden,Gelegenheit
K 5.2,"An der Mode im Laufe der Zeit lassen sich Hinweise auf die Geschlechterrollen erkennen.
Jede Zeit kommt mit einer eigenen Idee von Männlich- und Weiblichkeit.",Männlich,Weiblichkeit
K 5'.2,Jede Zeit kommt mit einer eigenen Idee von Weiblich- und Männlichkeit.,Weiblich,Männlichkeit
Mis 6.2,"Irgendwann möchte jedes Kind ein eigenes Zimmer.
Für Kinder sind Geborgen- und Unabhängigkeit wichtig.",Geborgen,Unabhängigkeit
Mis 6'.2,Für Kinder sind Unabhängig- und Geborgenheit wichtig.,Unabhängig,Geborgenheit
H 1.2,"Die Pfarrerin hält eine kurze Ansprache.
Ihr Auftreten strahlt Gewiss- und Sicherheit aus.",Gewiss,Sicherheit
U 1'.2,wenn die töd- und jährliche Malariasaison wieder vor der Tür steht.,töd,jährliche
L 2.2,"Irland ist ein beliebtes Urlaubsziel.
Die Landschaft dort ist fried- und herrlich.",fried,herrlich
L 2'.2,Die Landschaft dort ist herr- und friedlich.,herr,friedlich
Mix 3.2,"Ein Grund für den Fachkräftemangel ist die Bezahlung.
Die Bezahlung vieler Berufe ist kümmer- und leidlich.",kümmer,leidlich
Mix 3'.2,Die Bezahlung vieler Berufe ist leid- und kümmerlich.,leid,kümmerlich
U 4.2,"Die Betreuerin widmet sich dem Jungen mit viel Aufmerksamkeit.
Sie fördert und fordert ihn nachdrück- und zärtlich.",nachdrück,zärtlich
U 4'.2,Sie fördert und fordert ihn zärt- und nachdrücklich.,zärt,nachdrücklich
L 5.2,"Der Polizist hat zugegeben, einen Fehler gemacht zu haben.
Seine Antwort war ehr- und erstaunlich.",ehr,erstaunlich
L 5'.2,Seine Antwort war erstaun- und ehrlich.,erstaun,ehrlich
Mix 6.2,"Immer wieder sterben junge Leute bei Mutproben.
Mutproben sind gefähr- und schrecklich.",gefähr,schrecklich
Mix 6'.2,Mutproben sind schreck- und gefährlich.,schreck,gefährlich
U 1.2,"Die Apotheken legen sich im Mai einen Vorrat an Malariamedikamenten zu,
wenn die jähr- und tödliche Malariasaison wieder vor der Tür steht.",jähr,tödliche
K 2.3,"Der Redakteur ist relativ zufrieden mit seinem Team.
Den Redakteur würde ein Mangel an Aufmerksam- und Aufrichtigkeit am meisten stören.",Aufmerksam,Aufrichtigkeit
K 2'.3,Den Redakteur würde ein Mangel an Aufrichtig- und Aufmerksamkeit am meisten stören.,Aufrichtig,Aufmerksamkeit
