condition,ex1_order,question,variable,value,month,Mittelwert von value,Rating_in_relation_to_mean,frequency,ex1_umlaut,item,first,second
Mix 3.1,umlaut first,Er hat höf- und freundlich abgesagt.,participant_1,2.0,September,2.866666667,-0.8666666670000001,simple,umlaut mix,"Der Minister kommt nicht zur Buchmesse nach Leipzig.
Er hat höf- und freundlich abgesagt.",höf,freundlich
Mix 3.1,umlaut first,Er hat höf- und freundlich abgesagt.,participant_16,2.0,Mai,2.78125,-0.78125,simple,umlaut mix,"Der Minister kommt nicht zur Buchmesse nach Leipzig.
Er hat höf- und freundlich abgesagt.",höf,freundlich
Mix 3.1,umlaut first,Er hat höf- und freundlich abgesagt.,participant_17,3.0,Mai,2.9375,0.0625,simple,umlaut mix,"Der Minister kommt nicht zur Buchmesse nach Leipzig.
Er hat höf- und freundlich abgesagt.",höf,freundlich
Mix 3.1,umlaut first,Er hat höf- und freundlich abgesagt.,participant_26,1.0,September,2.90625,-1.90625,simple,umlaut mix,"Der Minister kommt nicht zur Buchmesse nach Leipzig.
Er hat höf- und freundlich abgesagt.",höf,freundlich
Mix 3.1,umlaut first,Er hat höf- und freundlich abgesagt.,participant_27,1.0,Mai,3.96875,-2.96875,simple,umlaut mix,"Der Minister kommt nicht zur Buchmesse nach Leipzig.
Er hat höf- und freundlich abgesagt.",höf,freundlich
Mix 3.1,umlaut first,Er hat höf- und freundlich abgesagt.,participant_31,1.0,September,3.5,-2.5,simple,umlaut mix,"Der Minister kommt nicht zur Buchmesse nach Leipzig.
Er hat höf- und freundlich abgesagt.",höf,freundlich
Mix 3.1,umlaut first,Er hat höf- und freundlich abgesagt.,participant_33,2.0,Mai,3.46875,-1.46875,simple,umlaut mix,"Der Minister kommt nicht zur Buchmesse nach Leipzig.
Er hat höf- und freundlich abgesagt.",höf,freundlich
Mix 3.1,umlaut first,Er hat höf- und freundlich abgesagt.,participant_35,3.0,September,4.03125,-1.03125,simple,umlaut mix,"Der Minister kommt nicht zur Buchmesse nach Leipzig.
Er hat höf- und freundlich abgesagt.",höf,freundlich
Mix 3.1,umlaut first,Er hat höf- und freundlich abgesagt.,participant_36,3.0,September,3.53125,-0.53125,simple,umlaut mix,"Der Minister kommt nicht zur Buchmesse nach Leipzig.
Er hat höf- und freundlich abgesagt.",höf,freundlich
Mix 3.1,umlaut first,Er hat höf- und freundlich abgesagt.,participant_40,2.0,September,4.03125,-2.03125,simple,umlaut mix,"Der Minister kommt nicht zur Buchmesse nach Leipzig.
Er hat höf- und freundlich abgesagt.",höf,freundlich
Mix 3.1,umlaut first,Er hat höf- und freundlich abgesagt.,participant_44,4.0,September,3.40625,0.59375,simple,umlaut mix,"Der Minister kommt nicht zur Buchmesse nach Leipzig.
Er hat höf- und freundlich abgesagt.",höf,freundlich
Mix 3.1,umlaut first,Er hat höf- und freundlich abgesagt.,participant_47,1.0,September,1.8125,-0.8125,simple,umlaut mix,"Der Minister kommt nicht zur Buchmesse nach Leipzig.
Er hat höf- und freundlich abgesagt.",höf,freundlich
Mix 3.1,umlaut first,Er hat höf- und freundlich abgesagt.,participant_52,3.0,Mai,4.28125,-1.28125,simple,umlaut mix,"Der Minister kommt nicht zur Buchmesse nach Leipzig.
Er hat höf- und freundlich abgesagt.",höf,freundlich
Mix 3.1,umlaut first,Er hat höf- und freundlich abgesagt.,participant_56,2.0,Mai,4.90625,-2.90625,simple,umlaut mix,"Der Minister kommt nicht zur Buchmesse nach Leipzig.
Er hat höf- und freundlich abgesagt.",höf,freundlich
Mix 3.1,umlaut first,Er hat höf- und freundlich abgesagt.,participant_61,7.0,Mai,4.451612903,2.548387097,simple,umlaut mix,"Der Minister kommt nicht zur Buchmesse nach Leipzig.
Er hat höf- und freundlich abgesagt.",höf,freundlich
Mix 3.1,umlaut first,Er hat höf- und freundlich abgesagt.,participant_64,5.0,Mai,3.25,1.75,simple,umlaut mix,"Der Minister kommt nicht zur Buchmesse nach Leipzig.
Er hat höf- und freundlich abgesagt.",höf,freundlich
Mix 3.1,umlaut first,Er hat höf- und freundlich abgesagt.,participant_66,1.0,Mai,2.875,-1.875,simple,umlaut mix,"Der Minister kommt nicht zur Buchmesse nach Leipzig.
Er hat höf- und freundlich abgesagt.",höf,freundlich
Mix 3.1,umlaut first,Er hat höf- und freundlich abgesagt.,participant_69,1.0,Mai,2.59375,-1.59375,simple,umlaut mix,"Der Minister kommt nicht zur Buchmesse nach Leipzig.
Er hat höf- und freundlich abgesagt.",höf,freundlich
Mix 3.1,umlaut first,Er hat höf- und freundlich abgesagt.,participant_78,2.0,Mai,2.28125,-0.28125,simple,umlaut mix,"Der Minister kommt nicht zur Buchmesse nach Leipzig.
Er hat höf- und freundlich abgesagt.",höf,freundlich
Mix 3.1,umlaut first,Er hat höf- und freundlich abgesagt.,participant_93,1.0,September,1.935483871,-0.935483871,simple,umlaut mix,"Der Minister kommt nicht zur Buchmesse nach Leipzig.
Er hat höf- und freundlich abgesagt.",höf,freundlich
Mix 3.1,umlaut first,Er hat höf- und freundlich abgesagt.,participant_96,2.0,Mai,2.53125,-0.53125,simple,umlaut mix,"Der Minister kommt nicht zur Buchmesse nach Leipzig.
Er hat höf- und freundlich abgesagt.",höf,freundlich
Mix 3.1,umlaut first,Er hat höf- und freundlich abgesagt.,participant_103,1.0,Mai,1.34375,-0.34375,simple,umlaut mix,"Der Minister kommt nicht zur Buchmesse nach Leipzig.
Er hat höf- und freundlich abgesagt.",höf,freundlich
Mix 3.1,umlaut first,Er hat höf- und freundlich abgesagt.,participant_104,1.0,Mai,3.125,-2.125,simple,umlaut mix,"Der Minister kommt nicht zur Buchmesse nach Leipzig.
Er hat höf- und freundlich abgesagt.",höf,freundlich
Mix 3.1,umlaut first,Er hat höf- und freundlich abgesagt.,participant_107,1.0,Mai,2.25,-1.25,simple,umlaut mix,"Der Minister kommt nicht zur Buchmesse nach Leipzig.
Er hat höf- und freundlich abgesagt.",höf,freundlich
Mix 3.1,umlaut first,Er hat höf- und freundlich abgesagt.,participant_114,1.0,September,2.1875,-1.1875,simple,umlaut mix,"Der Minister kommt nicht zur Buchmesse nach Leipzig.
Er hat höf- und freundlich abgesagt.",höf,freundlich
Mix 3.1,umlaut first,Er hat höf- und freundlich abgesagt.,participant_115,2.0,September,1.75,0.25,simple,umlaut mix,"Der Minister kommt nicht zur Buchmesse nach Leipzig.
Er hat höf- und freundlich abgesagt.",höf,freundlich
Mix 3.1,umlaut first,Er hat höf- und freundlich abgesagt.,participant_121,2.0,September,3.516129032,-1.5161290319999998,simple,umlaut mix,"Der Minister kommt nicht zur Buchmesse nach Leipzig.
Er hat höf- und freundlich abgesagt.",höf,freundlich
Mix 3.1,umlaut first,Er hat höf- und freundlich abgesagt.,participant_125,1.0,September,3.3125,-2.3125,simple,umlaut mix,"Der Minister kommt nicht zur Buchmesse nach Leipzig.
Er hat höf- und freundlich abgesagt.",höf,freundlich
Mix 3.1,umlaut first,Er hat höf- und freundlich abgesagt.,participant_134,4.0,September,4.15625,-0.15625,simple,umlaut mix,"Der Minister kommt nicht zur Buchmesse nach Leipzig.
Er hat höf- und freundlich abgesagt.",höf,freundlich
Mix 3.1,umlaut first,Er hat höf- und freundlich abgesagt.,participant_146,3.0,Mai,3.4375,-0.4375,simple,umlaut mix,"Der Minister kommt nicht zur Buchmesse nach Leipzig.
Er hat höf- und freundlich abgesagt.",höf,freundlich
Mix 3.1,umlaut first,Er hat höf- und freundlich abgesagt.,participant_151,6.0,Mai,4.3125,1.6875,simple,umlaut mix,"Der Minister kommt nicht zur Buchmesse nach Leipzig.
Er hat höf- und freundlich abgesagt.",höf,freundlich
